1/12 7:45:25|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/Newsamplescript\dump\flow\code.jquery.com/
1/12 7:45:25|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/12 7:45:25|ChromeRecordingHttpListener|onBeforeSendHeaders for url = http://172.24.1.4:1323/static/image/o.jpg|method called.
1/12 7:45:25|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
1/12 7:45:25|Utils|getURLTracker|urlString = http://172.24.1.4:1323/static/image/o.jpg, requestOrResponce = request
1/12 7:45:25|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532925073
1/12 7:45:25|Utils|convertToSecond method called|time = 3364.0
1/12 7:45:25|Utils|isSplit|Method called.
1/12 7:45:25|Utils|isSplit|Splitting for Ajax Header = false
1/12 7:45:25|Utils|isSplit|Splitting for method GET = false
1/12 7:45:25|Utils|isSplit|result = false
1/12 7:45:25|Utils|isSplitForTimeDiff|Method called.
1/12 7:45:25|Utils|isSplit|Splitting for time 0.09600000000000009 = false
1/12 7:45:25|Utils|isSplit|result = false
1/12 7:45:25|Utils|isSplitForURLType|Method called.
1/12 7:45:25|Utils|isSplitForURLType|value = false
1/12 7:45:25|Utils|isSplitForURLType|value = false
1/12 7:45:25|Utils|isSplit|isSplitForURLType = false
1/12 7:45:25|ChromeBrowserNavigationListener|onFinishLoadingFrame|Method Called for URL=http://172.24.1.4:1323/
1/12 7:45:25|Utils|getURLTracker|urlString = http://172.24.1.4:1323/, requestOrResponce = snapShot
1/12 7:45:25|ChromeCClickListener|addAllHTMLElementsListeners|Method Called.
1/12 7:45:25|Utils|getURLTracker|urlString = http://172.24.1.4:1323/static/image/o.jpg, requestOrResponce = response
1/12 7:45:25|Utils|getURLTracker|Response comes after the frame is loaded. urlString = http://172.24.1.4:1323/static/image/o.jpg
