1/13 3:17:24|Utils|isSplit|isSplitForURLType = false
1/13 3:17:24|Utils|getURLTracker|urlString = http://172.24.1.4:8086/favicon.ico, requestOrResponce = response
1/13 3:17:24|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603244327
1/13 3:17:24|Utils|convertToSecond method called|time = 3439.0
1/13 3:17:24|Utils|isSplit|Method called.
1/13 3:17:24|Utils|isSplit|Splitting for Ajax Header = false
1/13 3:17:24|Utils|isSplit|Splitting for method GET = false
1/13 3:17:24|Utils|isSplit|result = false
1/13 3:17:24|Utils|isSplitForTimeDiff|Method called.
1/13 3:17:24|Utils|isSplit|Splitting for time 1.093 = false
1/13 3:17:24|Utils|isSplit|result = false
1/13 3:17:24|Utils|isSplitForURLType|Method called.
1/13 3:17:24|Utils|isSplitForURLType|value = false
1/13 3:17:24|Utils|isSplitForURLType|value = false
1/13 3:17:24|Utils|isSplitForURLType|value = false
1/13 3:17:24|Utils|isSplit|isSplitForURLType = false
1/13 3:17:24|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = http://172.24.1.4:8086/favicon.ico
1/13 3:17:24|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603244327
1/13 3:17:24|Utils|convertToSecond method called|time = 3439.0
1/13 3:17:24|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603244327
1/13 3:17:24|Utils|convertToSecond method called|time = 3439.0
1/13 3:17:24|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/Shortinfluxscript\dump\flow\172.24.1.4_8086/
1/13 3:17:24|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/Shortinfluxscript\dump\flow\172.24.1.4_8086/
1/13 3:17:24|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/13 3:17:24|ChromeRecordingHttpListener|onBeforeSendHeaders for url = http://172.24.1.4:8086/api/v2/setup|method called.
1/13 3:17:24|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
1/13 3:17:24|Utils|getURLTracker|urlString = http://172.24.1.4:8086/api/v2/setup, requestOrResponce = request
1/13 3:17:24|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603244680
1/13 3:17:24|Utils|convertToSecond method called|time = 3792.0
1/13 3:17:24|Utils|isSplit|Method called.
1/13 3:17:24|Utils|isSplit|Splitting for Ajax Header = false
1/13 3:17:24|Utils|isSplit|Splitting for method GET = false
1/13 3:17:24|Utils|isSplit|result = false
1/13 3:17:24|Utils|isSplitForTimeDiff|Method called.
1/13 3:17:24|Utils|isSplit|Splitting for time 0.35299999999999976 = false
1/13 3:17:24|Utils|isSplit|result = false
1/13 3:17:24|Utils|isSplitForURLType|Method called.
1/13 3:17:24|Utils|isSplitForURLType|value = false
1/13 3:17:24|Utils|isSplitForURLType|value = false
1/13 3:17:24|Utils|isSplit|isSplitForURLType = false
1/13 3:17:24|Utils|getURLTracker|urlString = http://172.24.1.4:8086/api/v2/setup, requestOrResponce = response
1/13 3:17:24|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603244728
1/13 3:17:24|Utils|convertToSecond method called|time = 3840.0
1/13 3:17:24|Utils|isSplit|Method called.
1/13 3:17:24|Utils|isSplit|Splitting for Ajax Header = false
1/13 3:17:24|Utils|isSplit|Splitting for method GET = false
1/13 3:17:24|Utils|isSplit|result = false
1/13 3:17:24|Utils|isSplitForTimeDiff|Method called.
1/13 3:17:24|Utils|isSplit|Splitting for time 0.35299999999999976 = false
1/13 3:17:24|Utils|isSplit|result = false
1/13 3:17:24|Utils|isSplitForURLType|Method called.
1/13 3:17:24|Utils|isSplitForURLType|value = false
1/13 3:17:24|Utils|isSplitForURLType|value = true
